"# CrowdStrike Holdings, Inc. — Consolidated Balance Sheets"
"# Source: SEC EDGAR XBRL (10-K, as reported). Values in USD."
Line item,FY2023,FY2024,FY2025,FY2026
Cash and cash equivalents,2455369000,3375069000,4323295000,5230125000
Short-term investments,250000000,99591000,0,
"Accounts receivable, net",626181000,853105000,1128564000,1361844000
Total current assets,3640267000,4757307000,6113345000,7419119000
Total assets,5026540000,6646520000,8701578000,11086684000
Accounts payable,45372000,28180000,130887000,105319000
Deferred revenue (current),1727484000,2270757000,2733005000,3421051000
Deferred revenue (noncurrent),627629000,783342000,995672000,1332387000
Total current liabilities,2109072000,2697279000,3461050000,4184192000
Total liabilities,3539106000,4309431000,5382661000,6614079000
Long-term debt (noncurrent),741005000,742494000,743983000,745471000
Total stockholders' equity,1463641000,2303950000,3279494000,4428390000
