"# CrowdStrike Holdings, Inc. — Consolidated Statements of Operations"
"# Source: SEC EDGAR XBRL (10-K, as reported). Values in USD."
Line item,FY2023,FY2024,FY2025,FY2026
Total revenue,2241236000,3055555000,3953624000,4812005000
Cost of revenue,601231000,758929000,990172000,1218929000
Gross profit,1640005000,2296626000,2963452000,3593076000
Research and development,608364000,780319000,1075587000,1384770000
Sales and marketing,904409000,1140275000,1523001000,1831254000
General and administrative,317344000,395173000,481264000,670344000
Total operating expenses,1830117000,2315767000,3079852000,3886368000
Operating income (loss),-190112000,-19141000,-116400000,-293292000
Interest expense,25319000,25756000,,
Income tax expense (benefit),22402000,32232000,71130000,34176000
Net income (loss),-183245000,72181000,-15241000,-162502000
Stock-based compensation,526504000,648665000,861391000,1096679000
