"# Zscaler, Inc. — Consolidated Balance Sheets"
"# Source: SEC EDGAR XBRL (10-K, as reported). Values in USD."
Line item,FY2022,FY2023,FY2024,FY2025
Cash and cash equivalents,1013210000,1262206000,1423080000,2389023000
"Accounts receivable, net",399745000,582636000,736529000,992181000
Total current assets,2256647000,2890314000,3396617000,4894290000
Total assets,2832665000,3608317000,4704968000,6419888000
Accounts payable,26154000,18481000,23309000,46906000
Deferred revenue (current),923749000,1281143000,1643919000,2054417000
Deferred revenue (noncurrent),97374000,158533000,251055000,413609000
Total current liabilities,1134447000,1535868000,3112887000,2429611000
Total liabilities,2259365000,2883205000,3430866000,4620615000
Long-term debt (noncurrent),968674000,1134159000,1142275000,
Total stockholders' equity,573300000,725112000,1274102000,1799273000
