"# Zscaler, Inc. — Consolidated Statements of Operations"
"# Source: SEC EDGAR XBRL (10-K, as reported). Values in USD."
Line item,FY2022,FY2023,FY2024,FY2025
Total revenue,1090946000,1616952000,2167771000,2673115000
Cost of revenue,242282000,362832000,477129000,618178000
Gross profit,848664000,1254120000,1690642000,2054937000
Research and development,289139000,350786000,499828000,672485000
Sales and marketing,735219000,959102000,1100239000,1259158000
General and administrative,151735000,178855000,212052000,251754000
Total operating expenses,1176093000,1488743000,1812119000,2183397000
Operating income (loss),-327429000,-234623000,-121477000,-128460000
Interest expense,56579000,6541000,,
Income tax expense (benefit),6648000,19771000,28477000,23187000
Net income (loss),-390278000,-202335000,-57706000,-41478000
Stock-based compensation,409562000,444834000,527676000,661350000
